logfile, volume_type, bs, bandwidth[Bytes/s]
multiple-dp8rd2.log, dp8rd2, 1k, 1509652.480
multiple-dp8rd2.log, dp8rd2, 2k, 3138159.616
multiple-dp8rd2.log, dp8rd2, 4k, 5849572.352
multiple-dp8rd2.log, dp8rd2, 8k, 12365375.488
multiple-dp8rd2.log, dp8rd2, 16k, 24242378.752
multiple-dp8rd2.log, dp8rd2, 32k, 45545918.464
multiple-dp8rd2.log, dp8rd2, 64k, 83482378.240
multiple-dp8rd2.log, dp8rd2, 128k, 142868480.000
multiple-dp8rd2.log, dp8rd2, 256k, 204484902.912
multiple-dp8rd2.log, dp8rd2, 512k, 314601111.552
multiple-dp8rd2.log, dp8rd2, 1024k, 375956439.040
multiple-dp8rd2.log, dp8rd2, 2M, 321983086.592
multiple-dp8rd2.log, dp8rd2, 4M, 245098348.544
multiple-dp8rd2.log, dp8rd2, 8M, 160851558.400
multiple-dp8rd2.log, dp8rd2, 16M, 96821313.536
multiple-dp8rd2.log, dp8rd2, 32M, 52690944.000
multiple-dp8rd2.log, dp8rd2, 64M, 28269608.960
multiple-dp8rd2.log, dp8rd2, 128M, 13084131.328
multiple-dp8rd2.log, dp8rd2, 256M, 9674162.176
multiple-dp8rd2.log, dp8rd2, 512M, 6880755.712
multiple-dt2dp4rd1.log, dt2dp4rd1, 1k, 1874853.888
multiple-dt2dp4rd1.log, dt2dp4rd1, 2k, 3726639.104
multiple-dt2dp4rd1.log, dt2dp4rd1, 4k, 7378829.312
multiple-dt2dp4rd1.log, dt2dp4rd1, 8k, 14607712.256
multiple-dt2dp4rd1.log, dt2dp4rd1, 16k, 27681357.824
multiple-dt2dp4rd1.log, dt2dp4rd1, 32k, 52844349.440
multiple-dt2dp4rd1.log, dt2dp4rd1, 64k, 95669977.088
multiple-dt2dp4rd1.log, dt2dp4rd1, 128k, 160475119.616
multiple-dt2dp4rd1.log, dt2dp4rd1, 256k, 238928527.360
multiple-dt2dp4rd1.log, dt2dp4rd1, 512k, 341678489.600
multiple-dt2dp4rd1.log, dt2dp4rd1, 1024k, 416913817.600
multiple-dt2dp4rd1.log, dt2dp4rd1, 2M, 468619100.160
multiple-dt2dp4rd1.log, dt2dp4rd1, 4M, 395963269.120
multiple-dt2dp4rd1.log, dt2dp4rd1, 8M, 313293537.280
multiple-dt2dp4rd1.log, dt2dp4rd1, 16M, 225066352.640
multiple-dt2dp4rd1.log, dt2dp4rd1, 32M, 148863188.992
multiple-dt2dp4rd1.log, dt2dp4rd1, 64M, 108107137.024
multiple-dt2dp4rd1.log, dt2dp4rd1, 128M, 55990812.672
multiple-dt2dp4rd1.log, dt2dp4rd1, 256M, 22073573.376
multiple-dt2dp4rd1.log, dt2dp4rd1, 512M, 13470007.296
multiple-dt4rp2.log, dt4rp2, 1k, 1681915.904
multiple-dt4rp2.log, dt4rp2, 2k, 3392143.360
multiple-dt4rp2.log, dt4rp2, 4k, 6717177.856
multiple-dt4rp2.log, dt4rp2, 8k, 13179551.744
multiple-dt4rp2.log, dt4rp2, 16k, 26268925.952
multiple-dt4rp2.log, dt4rp2, 32k, 47350546.432
multiple-dt4rp2.log, dt4rp2, 64k, 89599770.624
multiple-dt4rp2.log, dt4rp2, 128k, 145701732.352
multiple-dt4rp2.log, dt4rp2, 256k, 243993149.440
multiple-dt4rp2.log, dt4rp2, 512k, 397378846.720
multiple-dt4rp2.log, dt4rp2, 1024k, 518174801.920
multiple-dt4rp2.log, dt4rp2, 2M, 604797665.280
multiple-dt4rp2.log, dt4rp2, 4M, 674360197.120
multiple-dt4rp2.log, dt4rp2, 8M, 401678008.320
multiple-dt4rp2.log, dt4rp2, 16M, 94534369.280
multiple-dt4rp2.log, dt4rp2, 32M, 36421238.784
multiple-dt4rp2.log, dt4rp2, 64M, 18260951.040
multiple-dt4rp2.log, dt4rp2, 128M, 12804161.536
multiple-dt4rp2.log, dt4rp2, 256M, 10995367.936
multiple-dt4rp2.log, dt4rp2, 512M, 10878976.000
multiple-dt8.log, dt8, 1k, 3763339.264
multiple-dt8.log, dt8, 2k, 7876902.912
multiple-dt8.log, dt8, 4k, 14842593.280
multiple-dt8.log, dt8, 8k, 29399973.888
multiple-dt8.log, dt8, 16k, 55756980.224
multiple-dt8.log, dt8, 32k, 100244914.176
multiple-dt8.log, dt8, 64k, 160285327.360
multiple-dt8.log, dt8, 128k, 253598105.600
multiple-dt8.log, dt8, 256k, 384051445.760
multiple-dt8.log, dt8, 512k, 512103546.880
multiple-dt8.log, dt8, 1024k, 644989583.360
multiple-dt8.log, dt8, 2M, 743461355.520
multiple-dt8.log, dt8, 4M, 808556953.600
multiple-dt8.log, dt8, 8M, 800745062.400
multiple-dt8.log, dt8, 16M, 731098644.480
multiple-dt8.log, dt8, 32M, 169628139.520
multiple-dt8.log, dt8, 64M, 80926998.528
multiple-dt8.log, dt8, 128M, 49931091.968
multiple-dt8.log, dt8, 256M, 38657851.392
multiple-dt8.log, dt8, 512M, 31771852.800
multiple-nfs.log, nfs, 1k, 218786.816
multiple-nfs.log, nfs, 2k, 889896.960
multiple-nfs.log, nfs, 4k, 1157566.464
multiple-nfs.log, nfs, 8k, 991760.384
multiple-nfs.log, nfs, 16k, 2587226.112
multiple-nfs.log, nfs, 32k, 3448481.792
multiple-nfs.log, nfs, 64k, 4898289.664
multiple-nfs.log, nfs, 128k, 7121928.192
multiple-nfs.log, nfs, 256k, 12631146.496
multiple-nfs.log, nfs, 512k, 18213765.120
multiple-nfs.log, nfs, 1024k, 23844618.240
multiple-nfs.log, nfs, 2M, 31560040.448
multiple-nfs.log, nfs, 4M, 111228747.776
multiple-nfs.log, nfs, 8M, 69323456.512
multiple-nfs.log, nfs, 16M, 77830553.600
multiple-nfs.log, nfs, 32M, 86207627.264
multiple-nfs.log, nfs, 64M, 102064193.536
multiple-nfs.log, nfs, 128M, 86944776.192
multiple-nfs.log, nfs, 256M, 82454773.760
multiple-nfs.log, nfs, 512M, 49086988.288
single-dt8.log, dt8, 1k, 3250585.600
single-dt8.log, dt8, 2k, 7340032.000
single-dt8.log, dt8, 4k, 11114905.600
single-dt8.log, dt8, 8k, 29360128.000
single-dt8.log, dt8, 16k, 57147392.000
single-dt8.log, dt8, 32k, 97307852.800
single-dt8.log, dt8, 64k, 156237824.000
single-dt8.log, dt8, 128k, 223346688.000
single-dt8.log, dt8, 256k, 328204288.000
single-dt8.log, dt8, 512k, 469762048.000
single-dt8.log, dt8, 1024k, 568328192.000
single-dt8.log, dt8, 2M, 681574400.000
single-dt8.log, dt8, 4M, 747634688.000
single-dt8.log, dt8, 8M, 795869184.000
single-dt8.log, dt8, 16M, 730857472.000
single-dt8.log, dt8, 32M, 811597824.000
single-dt8.log, dt8, 64M, 780140544.000
single-dt8.log, dt8, 128M, 769654784.000
single-dt8.log, dt8, 256M, 814743552.000
single-dt8.log, dt8, 512M, 772800512.000
single-dp8rd2.log, dp8rd2, 1k, 778240.000
single-dp8rd2.log, dp8rd2, 2k, 2831155.200
single-dp8rd2.log, dp8rd2, 4k, 5347737.600
single-dp8rd2.log, dp8rd2, 8k, 11639193.600
single-dp8rd2.log, dp8rd2, 16k, 20971520.000
single-dp8rd2.log, dp8rd2, 32k, 38482739.200
single-dp8rd2.log, dp8rd2, 64k, 75287756.800
single-dp8rd2.log, dp8rd2, 128k, 136314880.000
single-dp8rd2.log, dp8rd2, 256k, 207618048.000
single-dp8rd2.log, dp8rd2, 512k, 328204288.000
single-dp8rd2.log, dp8rd2, 1024k, 412090368.000
single-dp8rd2.log, dp8rd2, 2M, 440401920.000
single-dp8rd2.log, dp8rd2, 4M, 414187520.000
single-dp8rd2.log, dp8rd2, 8M, 479199232.000
single-dp8rd2.log, dp8rd2, 16M, 446693376.000
single-dp8rd2.log, dp8rd2, 32M, 440401920.000
single-dp8rd2.log, dp8rd2, 64M, 435159040.000
single-dp8rd2.log, dp8rd2, 128M, 423624704.000
single-dp8rd2.log, dp8rd2, 256M, 420478976.000
single-dp8rd2.log, dp8rd2, 512M, 412090368.000
single-dt2dp4rd1.log, dt2dp4rd1, 1k, 1363148.800
single-dt2dp4rd1.log, dt2dp4rd1, 2k, 3565158.400
single-dt2dp4rd1.log, dt2dp4rd1, 4k, 6920601.600
single-dt2dp4rd1.log, dt2dp4rd1, 8k, 15833497.600
single-dt2dp4rd1.log, dt2dp4rd1, 16k, 31457280.000
single-dt2dp4rd1.log, dt2dp4rd1, 32k, 58510540.800
single-dt2dp4rd1.log, dt2dp4rd1, 64k, 108003328.000
single-dt2dp4rd1.log, dt2dp4rd1, 128k, 173015040.000
single-dt2dp4rd1.log, dt2dp4rd1, 256k, 235929600.000
single-dt2dp4rd1.log, dt2dp4rd1, 512k, 339738624.000
single-dt2dp4rd1.log, dt2dp4rd1, 1024k, 408944640.000
single-dt2dp4rd1.log, dt2dp4rd1, 2M, 420478976.000
single-dt2dp4rd1.log, dt2dp4rd1, 4M, 467664896.000
single-dt2dp4rd1.log, dt2dp4rd1, 8M, 442499072.000
single-dt2dp4rd1.log, dt2dp4rd1, 16M, 477102080.000
single-dt2dp4rd1.log, dt2dp4rd1, 32M, 439353344.000
single-dt2dp4rd1.log, dt2dp4rd1, 64M, 461373440.000
single-dt2dp4rd1.log, dt2dp4rd1, 128M, 317718528.000
single-dt2dp4rd1.log, dt2dp4rd1, 256M, 427819008.000
single-dt2dp4rd1.log, dt2dp4rd1, 512M, 482344960.000
single-dt4rp2.log, dt4rp2, 1k, 1782579.200
single-dt4rp2.log, dt4rp2, 2k, 3984588.800
single-dt4rp2.log, dt4rp2, 4k, 8074035.200
single-dt4rp2.log, dt4rp2, 8k, 16148070.400
single-dt4rp2.log, dt4rp2, 16k, 31352422.400
single-dt4rp2.log, dt4rp2, 32k, 59244544.000
single-dt4rp2.log, dt4rp2, 64k, 101397299.200
single-dt4rp2.log, dt4rp2, 128k, 168820736.000
single-dt4rp2.log, dt4rp2, 256k, 307232768.000
single-dt4rp2.log, dt4rp2, 512k, 416284672.000
single-dt4rp2.log, dt4rp2, 1024k, 504365056.000
single-dt4rp2.log, dt4rp2, 2M, 645922816.000
single-dt4rp2.log, dt4rp2, 4M, 802160640.000
single-dt4rp2.log, dt4rp2, 8M, 848297984.000
single-dt4rp2.log, dt4rp2, 16M, 873463808.000
single-dt4rp2.log, dt4rp2, 32M, 794820608.000
single-dt4rp2.log, dt4rp2, 64M, 740294656.000
single-dt4rp2.log, dt4rp2, 128M, 767557632.000
single-dt4rp2.log, dt4rp2, 256M, 779091968.000
single-dt4rp2.log, dt4rp2, 512M, 761266176.000
single-nfs.log, nfs, 1k, 19251.200
single-nfs.log, nfs, 2k, 1677721.600
single-nfs.log, nfs, 4k, 2621440.000
single-nfs.log, nfs, 8k, 269312.000
single-nfs.log, nfs, 16k, 967680.000
single-nfs.log, nfs, 32k, 1782579.200
single-nfs.log, nfs, 64k, 3250585.600
single-nfs.log, nfs, 128k, 61446553.600
single-nfs.log, nfs, 256k, 12478054.400
single-nfs.log, nfs, 512k, 12478054.400
single-nfs.log, nfs, 1024k, 15309209.600
single-nfs.log, nfs, 2M, 30408704.000
single-nfs.log, nfs, 4M, 88080384.000
single-nfs.log, nfs, 8M, 203423744.000
single-nfs.log, nfs, 16M, 195035136.000
single-nfs.log, nfs, 32M, 212860928.000
single-nfs.log, nfs, 64M, 312475648.000
single-nfs.log, nfs, 128M, 373293056.000
single-nfs.log, nfs, 256M, 377487360.000
single-nfs.log, nfs, 512M, 369098752.000